{'loss': 3.017265625, 'learning_rate': 2.7408423430692272e-05, 'epoch': 9.036630627723092, 'step': 56000}
{'loss': 2.9900625, 'learning_rate': 2.700500242052606e-05, 'epoch': 9.197999031789575, 'step': 57000}
{'loss': 3.034171875, 'learning_rate': 2.6601581410359854e-05, 'epoch': 9.35936743585606, 'step': 58000}
{'loss': 2.980515625, 'learning_rate': 2.6198160400193645e-05, 'epoch': 9.520735839922542, 'step': 59000}
{'loss': 3.0056875, 'learning_rate': 2.5794739390027433e-05, 'epoch': 9.682104243989027, 'step': 60000}
{'loss': 2.9976875, 'learning_rate': 2.5391318379861223e-05, 'epoch': 9.84347264805551, 'step': 61000}
{'loss': 2.98653125, 'learning_rate': 2.4987897369695014e-05, 'epoch': 10.004841052121995, 'step': 62000}
{'loss': 2.9676875, 'learning_rate': 2.4584476359528805e-05, 'epoch': 10.166209456188477, 'step': 63000}
{'loss': 2.980546875, 'learning_rate': 2.4181055349362596e-05, 'epoch': 10.327577860254962, 'step': 64000}
{'loss': 2.946421875, 'learning_rate': 2.3777634339196387e-05, 'epoch': 10.488946264321445, 'step': 65000}
{'loss': 2.966125, 'learning_rate': 2.3374213329030175e-05, 'epoch': 10.65031466838793, 'step': 66000}
{'loss': 2.946921875, 'learning_rate': 2.297079231886397e-05, 'epoch': 10.811683072454413, 'step': 67000}
{'loss': 2.968875, 'learning_rate': 2.2567371308697757e-05, 'epoch': 10.973051476520897, 'step': 68000}
{'loss': 2.931921875, 'learning_rate': 2.216395029853155e-05, 'epoch': 11.13441988058738, 'step': 69000}
{'loss': 2.91715625, 'learning_rate': 2.176052928836534e-05, 'epoch': 11.295788284653865, 'step': 70000}
{'loss': 2.928578125, 'learning_rate': 2.135710827819913e-05, 'epoch': 11.457156688720348, 'step': 71000}
{'loss': 2.9310625, 'learning_rate': 2.095368726803292e-05, 'epoch': 11.618525092786832, 'step': 72000}
{'loss': 2.94325, 'learning_rate': 2.055026625786671e-05, 'epoch': 11.779893496853315, 'step': 73000}
{'loss': 2.918546875, 'learning_rate': 2.0146845247700502e-05, 'epoch': 11.9412619009198, 'step': 74000}
{'loss': 2.878734375, 'learning_rate': 1.974342423753429e-05, 'epoch': 12.102630304986283, 'step': 75000}
{'loss': 2.884703125, 'learning_rate': 1.934000322736808e-05, 'epoch': 12.263998709052768, 'step': 76000}
{'loss': 2.889453125, 'learning_rate': 1.8936582217201872e-05, 'epoch': 12.42536711311925, 'step': 77000}
{'loss': 2.916140625, 'learning_rate': 1.8533161207035663e-05, 'epoch': 12.586735517185735, 'step': 78000}
{'loss': 2.888828125, 'learning_rate': 1.8129740196869454e-05, 'epoch': 12.748103921252218, 'step': 79000}
{'loss': 2.89225, 'learning_rate': 1.7726319186703245e-05, 'epoch': 12.909472325318703, 'step': 80000}
{'loss': 2.881453125, 'learning_rate': 1.7322898176537032e-05, 'epoch': 13.070840729385186, 'step': 81000}
{'loss': 2.8396875, 'learning_rate': 1.6919477166370827e-05, 'epoch': 13.23220913345167, 'step': 82000}
{'loss': 2.8619375, 'learning_rate': 1.6516056156204614e-05, 'epoch': 13.393577537518153, 'step': 83000}
{'loss': 2.850125, 'learning_rate': 1.611263514603841e-05, 'epoch': 13.554945941584638, 'step': 84000}
{'loss': 2.86096875, 'learning_rate': 1.5709214135872196e-05, 'epoch': 13.71631434565112, 'step': 85000}
{'loss': 2.85015625, 'learning_rate': 1.5305793125705987e-05, 'epoch': 13.877682749717605, 'step': 86000}
{'loss': 2.85975, 'learning_rate': 1.4902372115539778e-05, 'epoch': 14.039051153784088, 'step': 87000}
{'loss': 2.82196875, 'learning_rate': 1.4498951105373567e-05, 'epoch': 14.200419557850573, 'step': 88000}
{'loss': 2.83834375, 'learning_rate': 1.409553009520736e-05, 'epoch': 14.361787961917056, 'step': 89000}
{'loss': 2.8526875, 'learning_rate': 1.369210908504115e-05, 'epoch': 14.52315636598354, 'step': 90000}
{'loss': 2.83471875, 'learning_rate': 1.3288688074874942e-05, 'epoch': 14.684524770050023, 'step': 91000}
{'loss': 2.83228125, 'learning_rate': 1.2885267064708731e-05, 'epoch': 14.845893174116508, 'step': 92000}
{'loss': 2.8206875, 'learning_rate': 1.2481846054542522e-05, 'epoch': 15.007261578182991, 'step': 93000}
{'loss': 2.812, 'learning_rate': 1.2078425044376311e-05, 'epoch': 15.168629982249476, 'step': 94000}
{'loss': 2.801625, 'learning_rate': 1.1675004034210102e-05, 'epoch': 15.329998386315959, 'step': 95000}
{'loss': 2.81403125, 'learning_rate': 1.1271583024043893e-05, 'epoch': 15.491366790382443, 'step': 96000}
{'loss': 2.772, 'learning_rate': 1.0868162013877684e-05, 'epoch': 15.652735194448926, 'step': 97000}
{'loss': 2.80834375, 'learning_rate': 1.0464741003711474e-05, 'epoch': 15.81410359851541, 'step': 98000}
{'loss': 2.786125, 'learning_rate': 1.0061319993545264e-05, 'epoch': 15.975472002581894, 'step': 99000}
{'loss': 2.78371875, 'learning_rate': 9.657898983379054e-06, 'epoch': 16.13684040664838, 'step': 100000}
{'loss': 2.78859375, 'learning_rate': 9.254477973212845e-06, 'epoch': 16.29820881071486, 'step': 101000}
{'loss': 2.7819375, 'learning_rate': 8.851056963046636e-06, 'epoch': 16.459577214781344, 'step': 102000}
{'loss': 2.7565625, 'learning_rate': 8.447635952880427e-06, 'epoch': 16.62094561884783, 'step': 103000}
{'loss': 2.7824375, 'learning_rate': 8.044214942714216e-06, 'epoch': 16.782314022914314, 'step': 104000}
{'loss': 2.7719375, 'learning_rate': 7.640793932548007e-06, 'epoch': 16.943682426980796, 'step': 105000}
{'loss': 2.79125, 'learning_rate': 7.237372922381798e-06, 'epoch': 17.10505083104728, 'step': 106000}
{'loss': 2.7819375, 'learning_rate': 6.833951912215589e-06, 'epoch': 17.266419235113766, 'step': 107000}
{'loss': 2.751625, 'learning_rate': 6.43053090204938e-06, 'epoch': 17.42778763918025, 'step': 108000}
{'loss': 2.74525, 'learning_rate': 6.02710989188317e-06, 'epoch': 17.58915604324673, 'step': 109000}
{'loss': 2.75475, 'learning_rate': 5.623688881716961e-06, 'epoch': 17.750524447313214, 'step': 110000}
{'loss': 2.7838125, 'learning_rate': 5.220267871550751e-06, 'epoch': 17.9118928513797, 'step': 111000}
{'loss': 2.753125, 'learning_rate': 4.816846861384541e-06, 'epoch': 18.073261255446184, 'step': 112000}
{'loss': 2.74375, 'learning_rate': 4.413425851218331e-06, 'epoch': 18.234629659512667, 'step': 113000}
{'loss': 2.7485625, 'learning_rate': 4.010004841052122e-06, 'epoch': 18.39599806357915, 'step': 114000}
{'loss': 2.75721875, 'learning_rate': 3.606583830885913e-06, 'epoch': 18.557366467645636, 'step': 115000}
{'loss': 2.71959375, 'learning_rate': 3.203162820719703e-06, 'epoch': 18.71873487171212, 'step': 116000}
{'loss': 2.72834375, 'learning_rate': 2.7997418105534936e-06, 'epoch': 18.880103275778602, 'step': 117000}
{'loss': 2.7490625, 'learning_rate': 2.3963208003872845e-06, 'epoch': 19.041471679845085, 'step': 118000}
{'loss': 2.72528125, 'learning_rate': 1.9928997902210746e-06, 'epoch': 19.20284008391157, 'step': 119000}
{'loss': 2.71178125, 'learning_rate': 1.5894787800548654e-06, 'epoch': 19.364208487978054, 'step': 120000}
{'loss': 2.72434375, 'learning_rate': 1.186057769888656e-06, 'epoch': 19.525576892044537, 'step': 121000}
{'loss': 2.7266875, 'learning_rate': 7.826367597224463e-07, 'epoch': 19.68694529611102, 'step': 122000}
{'loss': 2.7159375, 'learning_rate': 3.792157495562369e-07, 'epoch': 19.848313700177506, 'step': 123000}
